Name	Version	Format	LastModified	Size	Nodes	Edges	ConnectedComponents	Singletons	MaxNodeDegree	MeanNodeDegree
htn	release	TSV	2021-10-02 02:19:46+00:00	132322	1113	1892	(91, 1, 997)	79	171	3.40
htn	release	JSON	2021-10-02 02:19:45+00:00	1493602	1113	1892	(91, 1, 997)	79	171	3.40
iao	2020-12-09	TSV	2021-10-02 02:19:53+00:00	68336	432	775	(55, 1, 375)	52	52	3.59
iao	2020-12-09	JSON	2021-10-02 02:19:53+00:00	660100	432	775	(55, 1, 375)	52	52	3.59
iceo	2.1	TSV	2021-10-25 20:45:33+00:00	3045412	31093	69770	(72, 1, 30996)	66	3464	4.49
iceo	2.1	JSON	2021-10-25 20:45:31+00:00	25833744	31093	69770	(72, 1, 30996)	66	3464	4.49
ico	2021-04-21	TSV	2021-10-07 20:22:38+00:00	173046	1356	2486	(73, 1, 1269)	66	342	3.65
ico	2021-04-21	JSON	2021-10-07 20:22:37+00:00	1819442	1356	2486	(73, 1, 1269)	66	342	3.65
ico	release	TSV	2021-10-02 02:26:36+00:00	174721	1356	2486	(73, 1, 1269)	66	342	3.65
ico	release	JSON	2021-10-02 02:26:34+00:00	1816453	1356	2486	(73, 1, 1269)	66	342	3.65
ido	2017-11-03	TSV	2021-10-02 02:26:44+00:00	59816	671	1065	(67, 1, 602)	64	174	3.17
ido	2017-11-03	JSON	2021-10-02 02:26:44+00:00	771227	671	1065	(67, 1, 602)	64	174	3.17
idomal	2015-03-16	TSV	2021-10-25 20:57:20+00:00	270445	3210	4507	(88, 1, 3119)	83	473	2.81
idomal	2015-03-16	JSON	2021-10-25 20:57:18+00:00	5044978	3210	4507	(88, 1, 3119)	83	473	2.81
ino	1.0.112	TSV	2021-10-25 20:45:49+00:00	54543	500	950	(36, 1, 441)	31	100	3.80
ino	1.0.112	JSON	2021-10-25 20:45:50+00:00	321799	500	950	(36, 1, 441)	31	100	3.80
kisao	2.30	TSV	2021-10-25 20:54:51+00:00	74174	570	1058	(14, 1, 529)	11	39	3.71
kisao	2.30	JSON	2021-10-25 20:54:51+00:00	88556	570	1058	(14, 1, 529)	11	39	3.71
labo	2021-06-08	TSV	2021-10-02 02:26:54+00:00	41969	290	495	(35, 1, 227)	21	40	3.41
labo	2021-06-08	JSON	2021-10-02 02:26:55+00:00	394855	290	495	(35, 1, 227)	21	40	3.41
ma	2017-02-07	TSV	2021-10-02 02:27:23+00:00	125057	3275	4158	(17, 1, 3258)	15	130	2.54
ma	2017-02-07	JSON	2021-10-02 02:27:22+00:00	3017823	3275	4158	(17, 1, 3258)	15	130	2.54
mamo	no_version	TSV	2021-10-22 17:34:39+00:00	13781	116	165	(7, 1, 104)	4	14	2.84
mamo	no_version	JSON	2021-10-22 17:34:38+00:00	168433	116	165	(7, 1, 104)	4	14	2.84
mamo	release	TSV	2021-10-15 12:06:30+00:00	13747	116	165	(7, 1, 104)	4	14	2.84
mamo	release	JSON	2021-10-15 12:06:29+00:00	167220	116	165	(7, 1, 104)	4	14	2.84
maxo	2021-08-19	TSV	2021-10-22 16:18:04+00:00	150980	2227	2600	(585, 1, 1630)	572	736	2.33
maxo	2021-08-19	JSON	2021-10-22 16:18:05+00:00	452512	2227	2600	(585, 1, 1630)	572	736	2.33
mco	2019-05-15	TSV	2021-10-02 02:29:00+00:00	473199	3561	9049	(87, 1, 3466)	81	2340	5.08
mco	2019-05-15	JSON	2021-10-02 02:28:59+00:00	5985465	3561	9049	(87, 1, 3466)	81	2340	5.08
mf	2021-09-21	TSV	2021-10-15 03:46:12+00:00	50498	522	789	(79, 1, 436)	72	219	3.02
mf	2021-09-21	JSON	2021-10-15 03:46:11+00:00	581109	522	789	(79, 1, 436)	72	219	3.02
mfmo	2013-11-16	TSV	2021-10-22 16:18:38+00:00	105716	1210	2244	(118, 1, 1070)	109	95	3.70
mfmo	2013-11-16	JSON	2021-10-22 16:18:39+00:00	199686	1210	2244	(118, 1, 1070)	109	95	3.70
mfoem	2021-09-21	TSV	2021-10-15 03:46:49+00:00	66387	750	1076	(88, 1, 655)	81	219	2.87
mfoem	2021-09-21	JSON	2021-10-15 03:46:48+00:00	794888	750	1076	(88, 1, 655)	81	219	2.87
mfomd	2020-04-26	TSV	2021-10-15 03:47:08+00:00	134289	1057	1307	(120, 1, 928)	111	219	2.47
mfomd	2020-04-26	JSON	2021-10-15 03:47:09+00:00	1227472	1057	1307	(120, 1, 928)	111	219	2.47
mi	2020-04-13	TSV	2021-10-02 02:29:28+00:00	164379	1617	3003	(131, 1, 1469)	128	1301	3.71
mi	2020-04-13	JSON	2021-10-02 02:29:27+00:00	2021541	1617	3003	(131, 1, 1469)	128	1301	3.71
miapa	release	TSV	2021-10-02 02:29:35+00:00	4909	88	58	(33, 1, 27)	23	14	1.32
